service_name,latitude,longitude,service_type,service_icon,last_updated_at_UTC
Raymond Terrace Advanced Resource Recovery Park,-32.7305675,151.7474307,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Welshpool Resource Recovery Centre,-31.9885610999999,115.9621044,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Wingfield Resource Recovery Centre,-34.8420952,138.5560781,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Thales Mulwala Facility,-35.9903944999999,145.9866186,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Canberra Service Centre,-35.3495905,149.207465299999,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
Adelaide SUEZ ResourceCo Recovery Facility,-34.8376312999999,138.5407291,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Dandenong South Service Centre,-38.020352,145.244489599999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Hampton Park Resource Recovery Park,-38.0541417,145.267187499999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Newcastle Service Centre,-32.8867712,151.7348081,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Camellia Resource Recovery Centre,-33.8192576,151.041070499999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Wetherill Park Resource Recovery Centre,-33.8370631,150.8964671,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Gnangara Service Centre,-31.7889644,115.854565699999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
SUEZ Water Technologies Victoria,-37.9065133999999,145.2430024,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Mount Barker Service Centre,-35.07909,138.874138,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Rockdale Resource Recovery Centre,-33.9593102,151.1450253,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Seaview Wastewater Treatment Plant,-41.238033,174.904409699999,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
